Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1.0000	40.115	0.024928	3.7351	6.2279	154.95	12.479	20.834	322.67	0.36153	2.2741e-05	0.017837	vapor
300.00	6.0000	241.41	0.0041423	3.7049	6.1903	139.96	12.516	21.073	323.08	0.35674	2.2827e-05	0.018004	vapor
300.00	11.000	443.89	0.0022528	3.6747	6.1527	134.82	12.552	21.315	323.53	0.35190	2.2920e-05	0.018177	vapor
300.00	16.000	647.53	0.0015443	3.6443	6.1153	131.60	12.588	21.560	324.01	0.34701	2.3018e-05	0.018355	vapor
300.00	21.000	852.27	0.0011733	3.6139	6.0779	129.24	12.624	21.807	324.54	0.34208	2.3123e-05	0.018539	vapor
300.00	26.000	1058.1	0.00094510	3.5834	6.0407	127.36	12.659	22.057	325.10	0.33711	2.3233e-05	0.018729	vapor
300.00	31.000	1264.9	0.00079055	3.5529	6.0036	125.80	12.694	22.309	325.70	0.33210	2.3350e-05	0.018925	vapor
300.00	36.000	1472.8	0.00067899	3.5223	5.9666	124.46	12.729	22.564	326.35	0.32706	2.3473e-05	0.019126	vapor
300.00	41.000	1681.6	0.00059469	3.4916	5.9298	123.28	12.764	22.820	327.03	0.32198	2.3602e-05	0.019334	vapor
300.00	46.000	1891.2	0.00052876	3.4608	5.8931	122.22	12.798	23.077	327.76	0.31687	2.3737e-05	0.019547	vapor
300.00	51.000	2101.7	0.00047580	3.4301	5.8567	121.26	12.832	23.336	328.53	0.31173	2.3879e-05	0.019766	vapor
300.00	56.000	2313.0	0.00043234	3.3993	5.8204	120.39	12.866	23.596	329.34	0.30657	2.4026e-05	0.019990	supercritical
300.00	61.000	2525.0	0.00039604	3.3685	5.7843	119.58	12.899	23.858	330.20	0.30139	2.4180e-05	0.020220	supercritical
300.00	66.000	2737.6	0.00036528	3.3376	5.7485	118.82	12.932	24.119	331.10	0.29619	2.4340e-05	0.020456	supercritical
300.00	71.000	2950.8	0.00033889	3.3068	5.7129	118.12	12.964	24.381	332.04	0.29098	2.4506e-05	0.020697	supercritical
300.00	76.000	3164.6	0.00031600	3.2760	5.6776	117.46	12.996	24.643	333.03	0.28576	2.4678e-05	0.020943	supercritical
300.00	81.000	3378.8	0.00029596	3.2452	5.6425	116.83	13.028	24.905	334.07	0.28053	2.4856e-05	0.021194	supercritical
300.00	86.000	3593.4	0.00027829	3.2144	5.6077	116.24	13.059	25.166	335.15	0.27529	2.5040e-05	0.021450	supercritical
300.00	91.000	3808.2	0.00026259	3.1837	5.5732	115.67	13.090	25.427	336.27	0.27006	2.5229e-05	0.021711	supercritical
300.00	96.000	4023.3	0.00024855	3.1530	5.5390	115.13	13.121	25.686	337.45	0.26483	2.5424e-05	0.021976	supercritical
