Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
169.18	1.0000	71.439	0.013998	2.0958	3.4956	142.99	12.515	20.994	241.85	0.98395	1.3724e-05	0.010753	vapor
169.18	3.5789	258.97	0.0038614	2.0598	3.4418	132.17	12.630	21.554	240.81	0.97766	1.3806e-05	0.010898	vapor
169.18	6.1579	451.49	0.0022149	2.0230	3.3869	127.44	12.749	22.153	239.77	0.97110	1.3894e-05	0.011052	vapor
169.18	8.7368	649.33	0.0015401	1.9853	3.3308	124.31	12.872	22.795	238.73	0.96424	1.3989e-05	0.011218	vapor
169.18	11.316	852.83	0.0011726	1.9466	3.2735	121.92	12.999	23.485	237.68	0.95705	1.4091e-05	0.011396	vapor
169.18	13.895	1062.4	0.00094128	1.9069	3.2148	119.98	13.131	24.228	236.62	0.94948	1.4202e-05	0.011587	vapor
169.18	16.474	1278.4	0.00078220	1.8662	3.1548	118.32	13.268	25.030	235.57	0.94151	1.4321e-05	0.011792	vapor
169.18	19.053	1501.5	0.00066601	1.8243	3.0932	116.85	13.410	25.899	234.51	0.93310	1.4450e-05	0.012014	vapor
169.18	21.632	1732.1	0.00057735	1.7812	3.0301	115.54	13.558	26.844	233.45	0.92419	1.4589e-05	0.012255	vapor
169.18	24.211	1970.8	0.00050742	1.7367	2.9652	114.33	13.712	27.875	232.39	0.91475	1.4740e-05	0.012515	vapor
169.18	26.789	2218.3	0.00045080	1.6909	2.8985	113.20	13.873	29.002	231.34	0.90473	1.4903e-05	0.012798	vapor
169.18	29.368	2475.4	0.00040397	1.6434	2.8298	112.15	14.041	30.241	230.28	0.89405	1.5079e-05	0.013106	vapor
169.18	31.947	2743.0	0.00036456	1.5943	2.7590	111.14	14.216	31.607	229.23	0.88268	1.5271e-05	0.013442	vapor
169.18	34.526	3022.1	0.00033090	1.5434	2.6859	110.18	14.399	33.119	228.19	0.87053	1.5479e-05	0.013810	vapor
169.18	37.105	3313.7	0.00030177	1.4905	2.6102	109.25	14.591	34.802	227.16	0.85755	1.5705e-05	0.014213	vapor
169.18	39.684	3619.3	0.00027630	1.4354	2.5319	108.35	14.793	36.682	226.15	0.84363	1.5951e-05	0.014657	vapor
169.18	42.263	3940.3	0.00025379	1.3779	2.4505	107.47	15.004	38.793	225.16	0.82871	1.6220e-05	0.015145	vapor
169.18	44.842	4278.4	0.00023373	1.3179	2.3660	106.59	15.226	41.175	224.19	0.81268	1.6513e-05	0.015684	vapor
169.18	47.421	4635.7	0.00021572	1.2549	2.2778	105.73	15.458	43.878	223.26	0.79543	1.6835e-05	0.016280	vapor
169.18	50.000	5014.5	0.00019942	1.1887	2.1858	104.87	15.703	46.961	222.38	0.77684	1.7188e-05	0.016942	vapor
