Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
200.00	1.0000	60.310	0.016581	2.4833	4.1414	146.49	12.497	20.918	263.21	0.74099	1.5998e-05	0.012539	vapor
200.00	6.0000	367.20	0.0027233	2.4291	4.0631	131.33	12.622	21.607	262.29	0.73102	1.6135e-05	0.012784	vapor
200.00	11.000	683.38	0.0014633	2.3737	3.9834	126.01	12.751	22.347	261.42	0.72055	1.6288e-05	0.013050	vapor
200.00	16.000	1009.4	0.00099071	2.3169	3.9021	122.61	12.882	23.143	260.60	0.70955	1.6458e-05	0.013340	vapor
200.00	21.000	1345.8	0.00074306	2.2587	3.8192	120.05	13.016	24.000	259.84	0.69795	1.6648e-05	0.013656	vapor
200.00	26.000	1693.2	0.00059060	2.1990	3.7346	117.98	13.153	24.923	259.16	0.68572	1.6858e-05	0.014001	vapor
200.00	31.000	2052.2	0.00048728	2.1377	3.6482	116.20	13.293	25.920	258.55	0.67281	1.7090e-05	0.014377	vapor
200.00	36.000	2423.6	0.00041262	2.0747	3.5602	114.64	13.436	26.996	258.04	0.65919	1.7346e-05	0.014786	vapor
200.00	41.000	2807.8	0.00035615	2.0101	3.4703	113.24	13.581	28.157	257.63	0.64483	1.7627e-05	0.015231	vapor
200.00	46.000	3205.7	0.00031194	1.9436	3.3786	111.95	13.728	29.409	257.33	0.62968	1.7937e-05	0.015716	vapor
200.00	51.000	3617.8	0.00027641	1.8754	3.2851	110.74	13.877	30.759	257.18	0.61374	1.8275e-05	0.016241	vapor
200.00	56.000	4044.8	0.00024723	1.8053	3.1898	109.61	14.028	32.211	257.17	0.59700	1.8645e-05	0.016808	supercritical
200.00	61.000	4487.1	0.00022286	1.7334	3.0928	108.54	14.179	33.767	257.34	0.57944	1.9047e-05	0.017420	supercritical
200.00	66.000	4945.1	0.00020222	1.6595	2.9942	107.52	14.329	35.428	257.71	0.56109	1.9482e-05	0.018075	supercritical
200.00	71.000	5419.0	0.00018454	1.5839	2.8941	106.54	14.478	37.189	258.30	0.54198	1.9953e-05	0.018775	supercritical
200.00	76.000	5908.8	0.00016924	1.5065	2.7927	105.59	14.624	39.044	259.15	0.52214	2.0461e-05	0.019518	supercritical
200.00	81.000	6414.0	0.00015591	1.4275	2.6903	104.67	14.766	40.976	260.27	0.50165	2.1005e-05	0.020300	supercritical
200.00	86.000	6933.8	0.00014422	1.3470	2.5873	103.78	14.903	42.965	261.72	0.48060	2.1587e-05	0.021120	supercritical
200.00	91.000	7467.1	0.00013392	1.2653	2.4840	102.91	15.032	44.979	263.51	0.45909	2.2208e-05	0.021972	supercritical
200.00	96.000	8011.9	0.00012481	1.1827	2.3810	102.08	15.151	46.981	265.68	0.43725	2.2870e-05	0.022852	supercritical
